title,content,answer,solution,questionTypeCode,problemLevelCode,problemTypeCode,problemTypeDetailCode,metadata,createdDate,modifiedDate
다음 문장에서 괄호친 단어와 유의어를 고르시오,나와 너가 (같이) 놀고 있어요.,함께,"같이는 여러 사람이 함께 한다는 뜻으로, 함께도 비슷한 의미를 가지고 있습니다.",QT01,PL01,PT01,PT0112,"{'options': ['혼자', '함께', '멀리', '따로']}",2024-09-24T10:05:08.002284,2024-09-24T10:05:08.002284
다음 문장의 괄호친 단어와 유의어를 고르시오,(검은색) 모자를 쓰고 나갔어요.,어두운 색,검은색은 어두운 색의 일종이기 때문에 유의어로 적합합니다.,QT01,PL01,PT01,PT0112,"{'options': ['하얀색', '어두운 색', '밝은색', '다채로운 색']}",2024-09-24T10:05:08.002284,2024-09-24T10:05:08.002284
다음 문장의 괄호친 단어와 반의어를 고르시오,겨울은 (추운) 계절입니다.,따뜻한,겨울의 특징인 추운 것과 반대되는 의미로 따뜻한이 적절합니다.,QT01,PL01,PT01,PT0112,"{'options': ['차가운', '따뜻한', '서늘한', '온난한']}",2024-09-24T10:05:08.002284,2024-09-24T10:05:08.002284
다음 문장의 괄호친 단어와 유의어를 고르시오,도움을 주셔서 (고맙다),감사하다,"고맙다는 도움을 받아서 마음이 흐뭇하고 즐겁다는 뜻이므로, 감사하다와 같은 의미입니다.",QT01,PL01,PT01,PT0112,"{'options': ['감사하다', '미안하다', '싫어하다', '귀찮다']}",2024-09-24T10:05:08.002284,2024-09-24T10:05:08.002284
다음 문장의 괄호친 단어와 유의어를 고르시오,(교실)에서 친구들과 함께 공부해요.,강의실,"교실은 학습 활동이 이루어지는 공간을 의미하며, 강의실은 교실과 비슷한 의미로 사용될 수 있습니다.",QT01,PL01,PT01,PT0112,"{'options': ['학교', '강의실', '도서관', '체육관']}",2024-09-24T10:05:08.002284,2024-09-24T10:05:08.002284
다음 문장의 괄호친 단어와 유의어를 고르시오,(귀여운) 강아지를 만났어요.,사랑스럽고 예쁜,"귀여운의 의미는 예쁘고 사랑스러운 것이므로, 1번이 유의어입니다.",QT01,PL01,PT01,PT0112,"{'options': ['사랑스럽고 예쁜', '커다란', '무서운', '지루한']}",2024-09-24T10:05:08.003283,2024-09-24T10:05:08.003283
다음 문장의 괄호친 단어와 유의어를 고르시오,음식을 담는 (그릇)이 필요해요.,접시,"접시는 음식을 담는 용기 중 하나로, '그릇'과 비슷한 의미를 가지고 있습니다.",QT01,PL01,PT01,PT0112,"{'options': ['접시', '음료수', '비스킷', '숟가락']}",2024-09-24T10:05:08.003283,2024-09-24T10:05:08.003283
다음 문장에서 괄호친 단어와 유의어를 고르시오,(글자)는 말을 적는 일정한 체계의 부호예요.,문자,"글자는 문자의 다른 이름으로, 말을 적는 데 사용되는 부호입니다.",QT01,PL01,PT01,PT0112,"{'options': ['문자', '소리', '색깔', '모양']}",2024-09-24T10:05:08.003283,2024-09-24T10:05:08.003283
다음 문장의 괄호친 단어와 유의어를 고르시오,길은 사람이나 자동차가 지나갈 수 있는 (공간)입니다.,장소,길과 공간은 사람이 있을 수 있는 장소라는 의미에서 유사한 뜻입니다.,QT01,PL01,PT01,PT0112,"{'options': ['면', '자리', '장소', '지면']}",2024-09-24T10:05:08.003283,2024-09-24T10:05:08.003283
다음 문장의 괄호친 단어와 반의어를 고르시오,하늘이 (까만색)으로 변했어요,하얀색,까만색의 반의어는 밝은 색인 하얀색입니다.,QT01,PL01,PT01,PT0112,"{'options': ['파란색', '하얀색', '빨간색', '노란색']}",2024-09-24T10:05:08.003283,2024-09-24T10:05:08.003283
다음 문장의 괄호친 단어와 유의어를 고르시오,(깡충깡충) 뛰는 아이를 보았다.,신나게,"‘깡충깡충’은 힘 있게 뛰는 모습을 나타내므로, '신나게'가 유의어로 적합하다.",QT01,PL01,PT01,PT0112,"{'options': ['신나게', '느리게', '조용히', '어둡게']}",2024-09-24T10:05:08.003283,2024-09-24T10:05:08.003283
