textID,text,question,answer,questionType,word_count,word_avg,word_hard,length,Cluster,Difficulty_Level
49110,어느 마을에 릴리엔탈과 구스타프라는 형제가 살았어. 릴리엔탈과 구스타프는 어릴 때부터 하늘을 자유롭게 날아다니는 새를 부러워했어. 그래서 날마다 언덕에 올라 하늘을 나는 새를 구경하곤 했지.,릴리엔탈과 구스타프는 하늘의 새를 구경하기 위해 매일 무엇을 했나요?,언덕에 올랐어요.,PT03,24.0,3.0,3.0,106.0,0,1
16229,"물방울들은 바다 위로 떠올랐지. ""아, 눈부셔! 여기가 어디야?"" 파란 하늘에는 해님이 반짝반짝거리고 있었어. ""야, 바다 속과 다른 곳이네."" ""재미있겠다.""",물방울들은 파란 하늘을 보자 어떤 반응이었나요?,재미있겠다고 하였어요.,PT03,19.0,2.0,3.0,89.0,0,1
29191,"그림 속 모델은 시냐크의 친구 펠릭스 페네옹이에요. 페네옹은 점을 찍어 그린 시냐크의 그림을 좋아했고, '신인상파'라는 말을 처음으로 만들었어요. 시냐크가 이 그림처럼 일일이 점을 찍어 그림을 그렸던 이유는 색을 직접 섞는 게 아니라, 보는 사람의 눈에서 색이 섞여 보이기를 바랐던 거예요.",페네옹은 점을 찍어 그린 시냐크의 그림을 어떻게 생각하나요?,시냐크의 그림을 좋아해요.,PT03,40.0,2.0,3.0,162.0,0,1
29193,"폴 시냐크(1863 1935)는 프랑스의 화가예요. 모네의 그림을 보고 화가가 되기로 결심했어요. 그 뒤 점묘법을 개발한 쇠라를 만나 함께 그림을 그렸어요. 안타깝게 쇠라는 젊은 나이에 죽었지만, 시냐크가 그 뒤를 이어 그림을 발전시켜 나갔어요.",프랑스 화가 시냐크는 언제 태어났나요?,1863년에 태어났어요.,PT03,32.0,2.0,2.0,137.0,0,1
29193,"폴 시냐크(1863 1935)는 프랑스의 화가예요. 모네의 그림을 보고 화가가 되기로 결심했어요. 그 뒤 점묘법을 개발한 쇠라를 만나 함께 그림을 그렸어요. 안타깝게 쇠라는 젊은 나이에 죽었지만, 시냐크가 그 뒤를 이어 그림을 발전시켜 나갔어요.",쇠라는 어떤 그림 방법을 개발했나요?,점묘법을 개발했어요.,PT03,32.0,2.0,2.0,137.0,0,1
29181,하지만 어둠 속에서 까치를 노려보고 있는 고양이가 있지요. 아이가 조금만 방심하면 언제 저 고양이들이 까치에게 덤벼들지 몰라요. 아이가 까치와 새장 속 새들을 잘 지켜 주겠죠? 재미있는 점은 까치가 물고 있는 명함에 화가 자신의 이름을 적어 놓았다는 거예요. 그래서 그림에 따로 고야의 서명이 없는 거예요.,까치는 화가의 명함을 어떻게 하고 있나요?,명함을 물고 있어요.,PT03,44.0,2.5,3.0,171.0,0,1
29181,하지만 어둠 속에서 까치를 노려보고 있는 고양이가 있지요. 아이가 조금만 방심하면 언제 저 고양이들이 까치에게 덤벼들지 몰라요. 아이가 까치와 새장 속 새들을 잘 지켜 주겠죠? 재미있는 점은 까치가 물고 있는 명함에 화가 자신의 이름을 적어 놓았다는 거예요. 그래서 그림에 따로 고야의 서명이 없는 거예요.,까치가 물고 있는 명함에 화가 자신의 이름을 적어 놓은 걸 보고 어떤 생각이 드나요?,재밌는 발상이에요.,PT03,44.0,2.5,3.0,171.0,0,1
29299,우리들의 연주회. 우리들의 연주회는 명화와 악기 소리를 함께 즐기는 사운드북이에요. 특히 일반 사운드북에는 없는 성악가의 음성을 들으면서 합주의 즐거움을 느껴 보아요.,사운드 북의 합주를 들으면 기분이 어떤가요?,기분이 좋고 즐거워요. ,PT03,21.0,4.0,6.0,93.0,0,1
29300,"이 그림은 마네가 사진관에서 촬영한 인물 사진처럼 그려 낸 작품이에요. 하지만 배경이 텅 비어 있는 이 그림을 보고 사람들은 이해할 수 없었어요. 그래서 당시 미술 전람회에 그림을 냈지만, 떨어지고 말았어요. 지금은 오르세 미술관을 대표하는 작품으로 꼽히고 있지요.",마네가 미술 전람회에 낸 작품은 무엇을 그렸나요?,사진관에서 촬영한 인물처럼 그려 낸 작품이에요.,PT03,37.0,1.8333333333333333,3.0,148.0,0,1
29300,"이 그림은 마네가 사진관에서 촬영한 인물 사진처럼 그려 낸 작품이에요. 하지만 배경이 텅 비어 있는 이 그림을 보고 사람들은 이해할 수 없었어요. 그래서 당시 미술 전람회에 그림을 냈지만, 떨어지고 말았어요. 지금은 오르세 미술관을 대표하는 작품으로 꼽히고 있지요.",사람들은 마네의 작품을 왜 이해할 수 없었나요?,배경이 텅 비어 있기 때문이에요.,PT03,37.0,1.8333333333333333,3.0,148.0,0,1
