textID,text,question,answer,questionType,word_count,word_avg,word_hard,length,Cluster,Difficulty_Level
49110,어느 마을에 릴리엔탈과 구스타프라는 형제가 살았어. 릴리엔탈과 구스타프는 어릴 때부터 하늘을 자유롭게 날아다니는 새를 부러워했어. 그래서 날마다 언덕에 올라 하늘을 나는 새를 구경하곤 했지.,릴리엔탈은 누구와 형제인가요?,구스타프,PT02,24.0,3.0,3.0,106.0,0,1
29290,그림 속에서 빠르게 걷고 있는 보이지요. 걷고 있는 개의 여러 여러 동작을 한 그림 안에 그려 넣어서 그렇게 보이는 거예요. 이것은 개가 움직이고 있을 때 수십 장의 사진을 찍어서 한 장의 사진에 인쇄한 것과 같은 거예요.,그림 속에서 빠르게 걷고 있는 건 누구인가요?,개,PT02,36.0,2.5,4.0,124.0,0,1
29297,"키스. 구스타프 클림트, 1907 1908년, 벨베델 오스트리아 미술관. 황금 옷을 입은 남녀 한 쌍이 꽃밭 위에서 키스하고 있어요. 클림트의 아버지는 금 세공사였어요.",클림트의 작품에서 남녀 한 쌍은 무엇을 하고 있나요?,꽃밭 위에서 키스하고 있어요.,PT02,22.0,2.3333333333333335,4.0,94.0,0,1
29297,"키스. 구스타프 클림트, 1907 1908년, 벨베델 오스트리아 미술관. 황금 옷을 입은 남녀 한 쌍이 꽃밭 위에서 키스하고 있어요. 클림트의 아버지는 금 세공사였어요.",클림트의 키스라는 작품이 전시된 곳은 어디인가요?,벨베델 오스트리아 미술관,PT02,22.0,2.3333333333333335,4.0,94.0,0,1
29297,"키스. 구스타프 클림트, 1907 1908년, 벨베델 오스트리아 미술관. 황금 옷을 입은 남녀 한 쌍이 꽃밭 위에서 키스하고 있어요. 클림트의 아버지는 금 세공사였어요.",클림트의 아버지 직업은 무엇이었나요?,금 세공사,PT02,22.0,2.3333333333333335,4.0,94.0,0,1
29296,그래서 아버지의 영향으로 그림에 실제 금을 입혀 아름답게 표현했어요. 키스라는 클림트의 그림은 사랑을 고백하는 밸런타인데이에 흔하게 볼 수 있어요. 사랑하는 사람에게 보내는 카드에 가장 많이 사용하는 그림이기 때문이지요.,키스라는 클림트의 그림이 밸런타인데이에 흔하게 보이는 이유는 무엇인가요?,사랑하는 사람에게 보내는 카드에 가장 많이 사용하는 그림이기 때문이지요.,PT02,28.0,3.0,6.0,123.0,0,1
29296,그래서 아버지의 영향으로 그림에 실제 금을 입혀 아름답게 표현했어요. 키스라는 클림트의 그림은 사랑을 고백하는 밸런타인데이에 흔하게 볼 수 있어요. 사랑하는 사람에게 보내는 카드에 가장 많이 사용하는 그림이기 때문이지요.,클림트가 그림을 그리는 데 누구에게서 영향을 받았나요?,아버지,PT02,28.0,3.0,6.0,123.0,0,1
29295,구스타프 클림트(1862 1918)는 황금빛 색채로 유명한 오스트리아의 화가예요. 전통적인 미술에 반대하면서 새로운 시도를 했지요. 사랑과 죽음을 직접적으로 묘사하는 클림트의 그림을 인정하지 않는 사람도 많았어요. 하지만 20세기 말쯤 그는 아주 인기 있는 화가가 되었어요.,클림트의 그림이 인기가 많아진 것은 언제인가요?,20세기 말쯤,PT02,33.0,5.0,5.0,153.0,0,1
29295,구스타프 클림트(1862 1918)는 황금빛 색채로 유명한 오스트리아의 화가예요. 전통적인 미술에 반대하면서 새로운 시도를 했지요. 사랑과 죽음을 직접적으로 묘사하는 클림트의 그림을 인정하지 않는 사람도 많았어요. 하지만 20세기 말쯤 그는 아주 인기 있는 화가가 되었어요.,새로운 시도를 하고 황금빛 색채로 유명한 오스트리아의 화가는 누구인가요?,구스타프 클림트,PT02,33.0,5.0,5.0,153.0,0,1
29291,"넵투누스의 말. 월터 크레인, 1910년, 파리 장식 미술 도서관. 로마 신화에 나오는 바다의 신 넵투누스가 말을 이끌고 달리고 있어요. 말이 파도인지 파도가 말인지 구분이 안 될 정도예요. 이 그림은 크레인의 대표작인 넵투누스의 말을 그림책 삽화로 넣기 위해 그린 거예요. 도서관에 가면이 그림이 실린 책을 찾을 수 있어요.",넵투누스의 말이 삽화로 들어간 것은 무엇인가요?,그림책,PT02,47.0,3.0,5.0,182.0,0,1
29182,구스타프 클림트(1862 1918)는 황금빛 색채로 유명한 오스트리아의 화가예요. 전통적인 미술에 반대하면서 새로운 시도를 했지요. 사랑과 죽음을 직접적으로 묘사하는 클림트의 그림을 인정하지 않는 사람도 많았어요. 하지만 20세기 말쯤 그는 아주 인기 있는 화가가 되었어요.,클림트가 아주 인기 있었을 때는 언제인가요?,20세기 말쯤,PT02,33.0,5.0,5.0,153.0,0,1
29186,조반니 안토니오 볼트라피오(1466 67 1516)는 이탈리아의 화가예요. 레오나르도 다빈치에게 그림을 배웠을 뿐만 아니라 영향을 아주 많이 받았지요. 주로 교회의 제단화나 초상화를 그렸어요.,볼트라피오는 교회에서 주로 무엇을 하였나요?,제단화나 초상화를 그렸어요.,PT02,22.0,3.0,5.0,107.0,0,1
